Project,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025,01/2026,02/2026,03/2026,04/2026,05/2026,06/2026,07/2026,08/2026,09/2026,10/2026,11/2026,12/2026,01/2027,02/2027,02/2027
km-c-us-prod,,,,,"$1,000,000","$3,000,000","$5,000,000","$685,440","$2,685,440","$4,685,440","$2,908,800","$4,348,800","$6,268,800","$6,915,600","$8,595,600","$10,485,600","$12,585,600","$14,895,600","$17,415,600","$17,415,600","$17,415,600","$17,415,600"
klarna-hr-production,"$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624","$1,477,624"
klarna-mobile-uk-prod,,,,,,,,,,,,"$408,000","$816,000","$1,224,000","$1,632,000","$2,040,000","$2,448,000","$2,856,000","$3,264,000",,,
klarna-travel-prod,,,,,,,,,,,,,"$250,000","$500,000","$750,000","$1,000,000","$1,250,000","$1,500,000","$1,750,000",,,
